trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
41,dummy,c0,42,0.043918091,-0.199094729,0.203881117,44.4,4:5
0,lane_swap,c0,139,0.050983538,-0.227307198,0.232954681,44.0,4:5
0,lane_swap,c1,117,0.085322433,-0.201876808,0.219166976,44.0,4:5
1,lane_swap,c0,172,0.060850043,-0.264007191,0.270929003,44.0,4:5
1,lane_swap,c1,84,0.080656113,-0.264856220,0.276864996,44.0,4:5
2,lane_swap,c0,168,0.067521512,-0.271607208,0.279874311,44.0,4:5
2,lane_swap,c1,88,0.092690161,-0.211277285,0.230715316,44.0,4:5
3,lane_swap,c0,220,0.081740819,-0.220225861,0.234906346,44.0,4:5
3,lane_swap,c1,36,0.101579963,-0.246636675,0.266736084,44.0,4:5
4,lane_swap,c0,130,0.071134305,-0.231817139,0.242485619,44.0,4:5
4,lane_swap,c1,126,0.076251028,-0.229080842,0.241437884,44.0,4:5
5,lane_swap,c0,195,0.088757119,-0.268266572,0.282568186,44.0,4:5
5,lane_swap,c1,61,0.074851917,-0.237667627,0.249176063,44.0,4:5
6,lane_swap,c0,156,0.077997421,-0.240641144,0.252965922,44.0,4:5
6,lane_swap,c1,100,0.100504374,-0.243236533,0.263182713,44.0,4:5
7,lane_swap,c0,135,0.079251670,-0.185378255,0.201608345,44.5,4:5
7,lane_swap,c1,121,0.056576563,-0.207692132,0.215260143,44.5,4:5
8,lane_swap,c0,182,0.073323334,-0.229360201,0.240795376,44.1,4:5
8,lane_swap,c1,74,0.080367693,-0.195450034,0.211328374,44.1,4:5
9,lane_swap,c0,216,0.058631706,-0.224864531,0.232382732,44.4,4:5
